	M1	M2	M3	M4	P1	P2	P3	normal
m1	19.5	19.5	19.5	19.5	19.5	19.5	19.5	19.5
m2	20.02946	20.00098	20.01766	20.00375	20.00858	20.00736	20.2436	20
m3	15	15	15	15	15	15	15	15
m4	21.5	21.5	21.5	21.5	21.5	21.5	21.5	21.5
m5	15	15	15	15	15	15	15	15
m6	18.30117	18.04219	18.32874	18.45045	18.35371	18.55528	18.51991	18
m7	16.79663	16.96242	16.78004	16.5819	16.87044	16.97419	16.97867	17
m8	20.00245	19.99904	19.82119	19.599	19.94589	19.99109	20.23049	20
m9	20.49123	20.4992	20.46737	20.09539	20.46424	20.48931	20.49398	20.5
m10	15.79165	15.962	15.77048	15.57822	15.69985	15.9568	15.97354	16
